# time, NonControlledInfectedClasses, ControlledInfectedClasses
2.697493036211699291e+02,9.371527483330047517e+02,5.044493385569987254e+01
2.707520891364902127e+02,9.315156048321734943e+02,4.986454004587710642e+01
2.717548746518105531e+02,9.259122756004592247e+02,4.929418143882340786e+01
2.727576601671308936e+02,9.203425589540065630e+02,4.873370624707797560e+01
2.737604456824512340e+02,9.148062543979492602e+02,4.818296616627187490e+01
2.747632311977715744e+02,9.093031626195695480e+02,4.764181633832120610e+01
2.757660167130919149e+02,9.038330854814945496e+02,4.711011531756961546e+01
2.767688022284122553e+02,8.983958260149304351e+02,4.658772503962096323e+01
2.777715877437325958e+02,8.929911884129332975e+02,4.607451079283709561e+01
2.787743732590529362e+02,8.876189780237161813e+02,4.557034119255985871e+01
2.797771587743732198e+02,8.822790013439937411e+02,4.507508815815150172e+01
2.807799442896935602e+02,8.769710660123628259e+02,4.458862689296618953e+01
2.817827298050139007e+02,8.716949808027189874e+02,4.411083586738099882e+01
2.827855153203342411e+02,8.664505556177092558e+02,4.364159680502984173e+01
2.837883008356545815e+02,8.612376014822216348e+02,4.318079467240022495e+01
2.847910863509749220e+02,8.560559305369087042e+02,4.272831767197118324e+01
2.857938718662952624e+02,8.509053560317482834e+02,4.228405723909128255e+01
2.867966573816156028e+02,8.457856923196384287e+02,4.184790804281867338e+01
2.877994428969359433e+02,8.406967548500281282e+02,4.141976799097194117e+01
2.888022284122562269e+02,8.356383601625832398e+02,4.099953823966988864e+01
2.898050139275765673e+02,8.306103258808864211e+02,4.058712320767310899e+01
2.908077994428969077e+02,8.256124707061728714e+02,4.018243059587902621e+01
2.918105849582172482e+02,8.206446144110991554e+02,3.978537141236679275e+01
2.928133704735375886e+02,8.157065778335486357e+02,3.939586000344010586e+01
2.938161559888579291e+02,8.107981828704682812e+02,3.901381409117490051e+01
2.948189415041782695e+02,8.059192524717415154e+02,3.863915481804757235e+01
2.958217270194986099e+02,8.010696106340944880e+02,3.827180679929817586e+01
2.968245125348189504e+02,7.962490823950354297e+02,3.791169818377490941e+01
2.978272980501392908e+02,7.914574938268281130e+02,3.755876072411292910e+01
2.988300835654595744e+02,7.866946720304978271e+02,3.721292985722438829e+01
2.998328690807799148e+02,7.819604451298725962e+02,3.687414479622182739e+01
3.008356545961002553e+02,7.772546422656541836e+02,3.654234863506633246e+01
3.018384401114205957e+02,7.725770935895250204e+02,3.621748846743002304e+01
3.028412256267409361e+02,7.679276302582862854e+02,3.589951552149553038e+01
3.038440111420612766e+02,7.633060844280280435e+02,3.558838531268765593e+01
3.048467966573816170e+02,7.587122892483333771e+02,3.528405781665422580e+01
3.058495821727019575e+02,7.541460788565133271e+02,3.498649766519070425e+01
3.068523676880222979e+02,7.496072883718741195e+02,3.469567436824906537e+01
3.078551532033425815e+02,7.450957538900172494e+02,3.441156256569685468e+01
3.088579387186629219e+02,7.406113124771693492e+02,3.413414231311276126e+01
3.098607242339832624e+02,7.361538021645458230e+02,3.386339940663788894e+01
3.108635097493036028e+02,7.317230619427446072e+02,3.359932575276709343e+01
3.118662952646239432e+02,7.273189317561710823e+02,3.334191978998463668e+01
3.128690807799442837e+02,7.229412524974943608e+02,3.309118697034637080e+01
3.138718662952646241e+02,7.185898660021350679e+02,3.284714031050463490e+01
3.148746518105849646e+02,7.142646150427827934e+02,3.260980102290564986e+01
3.158774373259053050e+02,7.099653433239446940e+02,3.237919923134711553e+01
3.168802228412255886e+02,7.056918954765253602e+02,3.215537477834569557e+01
3.178830083565459290e+02,7.014441170524351037e+02,3.193837819876329576e+01
3.188857938718662695e+02,6.972218545192301917e+02,3.172827182753315256e+01
3.198885793871866099e+02,6.930249552547820713e+02,3.152513106637941576e+01
3.208913649025069503e+02,6.888532675419771749e+02,3.132904584859617358e+01
3.218941504178272908e+02,6.847066405634450348e+02,3.114012233634323223e+01
3.228969359331476312e+02,6.805849243963180015e+02,3.095848488920494646e+01
3.238997214484679716e+02,6.764879700070184754e+02,3.078427834988218237e+01
3.249025069637883121e+02,6.724156292460763780e+02,3.061767070122963830e+01
3.259052924791085957e+02,6.683677548429750459e+02,3.045885615870956187e+01
3.269080779944289361e+02,6.643442004010273649e+02,3.030805877405905591e+01
3.279108635097492765e+02,6.603448203922789617e+02,3.016553663998741541e+01
3.289136490250696170e+02,6.563694701524409538e+02,3.003158680255791779e+01
3.299164345403899574e+02,6.524180058758515770e+02,2.990655100822037227e+01
