# time, Quarantine, Isolation
2.637325905292478865e+02,3.300465550403511861e-01,1.826617911236545766e-01
2.647353760445682269e+02,3.285807407290458615e-01,1.819758665223305538e-01
2.657381615598885674e+02,3.271151163452672428e-01,1.812887933493390058e-01
2.667409470752089078e+02,3.256494828102180494e-01,1.806004641738196137e-01
2.677437325905292482e+02,3.241836354854549240e-01,1.799107678413952860e-01
2.687465181058495887e+02,3.227173614634443743e-01,1.792195900104187056e-01
2.697493036211699291e+02,3.212504455666223002e-01,1.785268139856920622e-01
2.707520891364902127e+02,3.197826814314752020e-01,1.778323187908128211e-01
2.717548746518105531e+02,3.183138223744049200e-01,1.771359757918363476e-01
2.727576601671308936e+02,3.168436417609755140e-01,1.764376544808453351e-01
2.737604456824512340e+02,3.153719000865319866e-01,1.757372209343667779e-01
2.747632311977715744e+02,3.138983495628854259e-01,1.750345363640307406e-01
2.757660167130919149e+02,3.124227348078231770e-01,1.743294567685729490e-01
2.767688022284122553e+02,3.109447925182043937e-01,1.736218327631997294e-01
2.777715877437325958e+02,3.094642509390208573e-01,1.729115093654487456e-01
2.787743732590529362e+02,3.079808293075629866e-01,1.721983257121401101e-01
2.797771587743732198e+02,3.064942372861725328e-01,1.714821147213229924e-01
2.807799442896935602e+02,3.050041743672793904e-01,1.707627027122501084e-01
2.817827298050139007e+02,3.035103292361022720e-01,1.700399089893808169e-01
2.827855153203342411e+02,3.020123790811831133e-01,1.693135453910412369e-01
2.837883008356545815e+02,3.005099888453955370e-01,1.685834158002119110e-01
2.847910863509749220e+02,2.990028104104128226e-01,1.678493156131395381e-01
2.857938718662952624e+02,2.974904817067899887e-01,1.671110311603231646e-01
2.867966573816156028e+02,2.959726257404015626e-01,1.663683390734726486e-01
2.877994428969359433e+02,2.944488495242513770e-01,1.656210055910398715e-01
2.888022284122562269e+02,2.929187429026843814e-01,1.648687857937773671e-01
2.898050139275765673e+02,2.913818772527425605e-01,1.641114227604159870e-01
2.908077994428969077e+02,2.898378040447521231e-01,1.633486466319330754e-01
2.918105849582172482e+02,2.882860532411134491e-01,1.625801735709621054e-01
2.928133704735375886e+02,2.867261315086032658e-01,1.618057046006259603e-01
2.938161559888579291e+02,2.851575202151915844e-01,1.610249243044102607e-01
2.948189415041782695e+02,2.835796731773091994e-01,1.602374993655600877e-01
2.958217270194986099e+02,2.819920141175641382e-01,1.594430769208255716e-01
2.968245125348189504e+02,2.803939337859502889e-01,1.586412826991059066e-01
2.978272980501392908e+02,2.787847866894807014e-01,1.578317189105724605e-01
2.988300835654595744e+02,2.771638873657260582e-01,1.570139618460792419e-01
2.998328690807799148e+02,2.755305061247728671e-01,1.561875591399954910e-01
3.008356545961002553e+02,2.738838641714166355e-01,1.553520266419008700e-01
3.018384401114205957e+02,2.722231280047458513e-01,1.545068448337501843e-01
3.028412256267409361e+02,2.705474029753890397e-01,1.536514547190204194e-01
3.038440111420612766e+02,2.688557258613003542e-01,1.527852530988867696e-01
3.048467966573816170e+02,2.671470563007179444e-01,1.519075871375268338e-01
3.058495821727019575e+02,2.654202668954955824e-01,1.510177481041498071e-01
3.068523676880222979e+02,2.636741317690756703e-01,1.501149641632159581e-01
3.078551532033425815e+02,2.619073133308797985e-01,1.491983920664652907e-01
3.088579387186629219e+02,2.601183469635666712e-01,1.482671075805807592e-01
3.098607242339832624e+02,2.583056233142142499e-01,1.473200944618747177e-01
3.108635097493036028e+02,2.564673678427324965e-01,1.463562317624008402e-01
3.118662952646239432e+02,2.546016172794439147e-01,1.453742792155882924e-01
3.128690807799442837e+02,2.527061927112453921e-01,1.443728603927830478e-01
3.138718662952646241e+02,2.507786692435264309e-01,1.433504432205353063e-01
3.148746518105849646e+02,2.488163417696973578e-01,1.423053242565741616e-01
3.158774373259053050e+02,2.468162325925746248e-01,1.412357029338147107e-01
3.168802228412255886e+02,2.447749406630395363e-01,1.401393575532884073e-01
3.178830083565459290e+02,2.426886306212049371e-01,1.390139183590420047e-01
3.188857938718662695e+02,2.405530343820506123e-01,1.378567253576972185e-01
3.198885793871866099e+02,2.383633380791060352e-01,1.366647928273996837e-01
3.208913649025069503e+02,2.361141134117037410e-01,1.354347685335045015e-01
3.218941504178272908e+02,2.337992384051454098e-01,1.341628898761700606e-01
3.228969359331476312e+02,2.314118088180403543e-01,1.328449366594441627e-01
3.238997214484679716e+02,2.289440406241123882e-01,1.314761806987191639e-01
3.249025069637883121e+02,2.263871638282429211e-01,1.300513328453668238e-01
3.259052924791085957e+02,2.237313080260965314e-01,1.285644883483078038e-01
3.269080779944289361e+02,2.209653804602635940e-01,1.270090718571220689e-01
3.279108635097492765e+02,2.180769378319559193e-01,1.253777838299652836e-01
3.289136490250696170e+02,2.150520538107245083e-01,1.236625506551780884e-01
3.299164345403899574e+02,2.118751850910133572e-01,1.218544814301970036e-01
3.309192200557102979e+02,2.085290400498479857e-01,1.199438350555115940e-01
3.319220055710306383e+02,2.049944556813088070e-01,1.179200020683684735e-01
3.329247910863509787e+02,2.012502906960866311e-01,1.157715064082788514e-01
3.339275766016713192e+02,1.972733457394219569e-01,1.134860329829480152e-01
3.349303621169916028e+02,1.930383259803293283e-01,1.110504873415669169e-01
3.359331476323119432e+02,1.885178674049051428e-01,1.084510937370177369e-01
3.369359331476322836e+02,1.836826293153680234e-01,1.056738297808781368e-01
3.379387186629526241e+02,1.785014376845592554e-01,1.027039049220815209e-01
3.389415041782729645e+02,1.729417065900503425e-01,9.952666336868232211e-02
3.399442896935933049e+02,1.669703000159453443e-01,9.612776055807391307e-02
3.409470752089136454e+02,1.605536837416401130e-01,9.249347642821881266e-02
3.419498607242339858e+02,1.536599107717193657e-01,8.861118046639276935e-02
3.429526462395543263e+02,1.462600684473345514e-01,8.446979615759768467e-02
3.439554317548746099e+02,1.383306390779889816e-01,8.006075107050031336e-02
3.449582172701949503e+02,1.298565395737029671e-01,7.537731505342598615e-02
3.459610027855152907e+02,1.208351977010388850e-01,7.041569628747959553e-02
3.469637883008356312e+02,1.112819401060269053e-01,6.517646490483999799e-02
3.479665738161559716e+02,1.012357380751022357e-01,5.966272665397763519e-02
3.489693593314763120e+02,9.076587521409074100e-02,5.388382067420272037e-02
3.499721448467966525e+02,7.997153956778051132e-02,5.003541896331393374e-02
3.509749303621169929e+02,6.894725030539911037e-02,5.003541896331393374e-02
3.519777158774373333e+02,5.778604199848710876e-02,5.003541896331393374e-02
3.529805013927576738e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.539832869080779574e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.549860724233982978e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.559888579387186383e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.569916434540389787e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.579944289693593191e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.589972144846796596e+02,5.003541896331393374e-02,5.003541896331393374e-02
3.600000000000000000e+02,5.003541896331393374e-02,5.003541896331393374e-02
